"ano";"moran"
"1980";0,570207372376333
"1981";0,604445585021941
"1982";0,575370703224704
"1983";0,55438326550986
"1984";0,591963785668369
"1985";0,553931231674924
"1986";0,549044938201493
"1987";0,596000577472983
"1988";0,561610980335528
"1989";0,595553370409149
"1990";0,594976607933029
"1991";0,581777473299493
"1992";0,558509837207733
"1993";0,543976506728078
"1994";0,531022322710766
"1995";0,539769244365378
"1996";0,625835249741757
"1997";0,593741047951423
"1998";0,562588273106869
"1999";0,529412318316457
"2000";0,487512409975561
"2001";0,459788356351872
"2002";0,415928345775703
"2003";0,428839426080269
"2004";0,365421777533014
"2005";0,368774610296689
"2006";0,397489974458508
"2007";0,447570845620235
"2008";0,344475104823092
"2009";0,379607693841086
"2010";0,363440501651756
"2011";0,385976668766362
"2012";0,383372134686116
"2013";0,390517340420358
"2014";0,389850876887626
"2015";0,442785153150393
"2016";0,440448533295632
"2017";0,483233237866558
"2018";0,484603244019311
"2019";0,411858156663214
